time,x,y,z,gx,gy,gz,barometer
0.09,0.44,-0.53,0.71,0.04,0.04,0.02,1007.37
0.212,0.44,-0.51,0.73,-0.03,-0.00,0.02,1007.58
0.278,0.45,-0.53,0.71,0.04,-0.02,-0.01,1007.50
0.383,0.44,-0.54,0.70,0.05,0.06,-0.04,1007.37
0.47,0.44,-0.53,0.71,0.02,-0.02,-0.01,1007.45
0.528,0.45,-0.52,0.71,0.05,-0.04,-0.03,1007.50
0.659,0.44,-0.52,0.71,0.05,-0.01,0.00,1007.52
0.712,0.43,-0.52,0.71,-0.01,-0.01,-0.02,1007.45
0.812,0.45,-0.53,0.70,0.06,0.02,-0.03,1007.44
0.919,0.47,-0.54,0.71,-0.09,-0.47,0.91,1007.51
1.009,0.41,-0.57,0.67,-0.05,-0.93,1.02,1007.39
1.079,0.45,-0.57,0.62,0.11,-0.97,0.70,1007.38
1.174,0.49,-0.60,0.58,-0.04,-1.34,0.50,1007.46
1.277,0.50,-0.49,0.55,0.27,-2.98,-0.94,1007.38
1.344,1.00,-0.66,0.36,-0.89,-1.52,-1.27,1007.37
1.434,0.97,-0.51,0.34,-2.04,1.76,-1.54,1007.55
1.545,0.71,-0.43,0.48,-1.17,1.56,-1.86,1007.46
1.63,0.93,-0.41,0.71,-0.56,0.96,-1.23,1007.48
1.721,0.72,-0.30,0.65,0.20,2.47,1.40,1007.42
1.816,0.44,-0.32,0.77,-0.71,0.97,1.28,1007.45
1.816,0.44,-0.32,0.77,-0.71,0.97,1.28,1007.45
2.071,0.44,-0.32,0.77,-0.09,0.74,1.65,1007.45
2.091,0.18,-0.52,0.69,-1.05,-1.60,2.06,1007.48
2.182,0.34,-0.51,0.73,-0.70,-1.49,0.56,1007.43
2.292,0.20,-0.44,0.58,0.63,-2.33,0.45,1007.47
2.362,1.02,-0.64,0.39,-2.57,-1.31,-1.89,1007.49
2.464,1.02,-0.64,0.39,-0.37,1.45,-0.53,1007.42
2.549,0.77,-0.47,0.41,-0.33,0.67,-1.71,1007.34
2.63,0.75,-0.40,0.60,-0.91,1.87,-0.59,1007.35
2.71,0.93,-0.43,0.71,0.92,2.99,1.31,1007.50
2.824,0.30,-0.44,0.69,-0.93,1.02,1.65,1007.44
2.91,0.19,-0.50,0.68,-0.24,-0.05,1.73,1007.43
2.995,0.29,-0.60,0.64,-0.88,-1.80,1.39,1007.44
3.102,0.39,-0.54,0.62,-1.03,-1.98,1.02,1007.37
3.185,0.38,-0.54,0.55,0.05,-1.26,-0.11,1007.31
3.251,0.56,-0.61,0.48,-1.41,-2.23,-1.82,1007.47
3.386,0.98,-0.66,0.35,-0.67,-0.80,-2.02,1007.45
3.45,0.92,-0.54,0.34,0.01,1.97,-1.39,1007.51
3.558,0.91,-0.42,0.48,-0.64,0.96,-2.62,1007.44
3.642,0.69,-0.29,0.59,0.31,3.49,0.05,1007.42
3.753,0.43,-0.47,0.60,-0.56,3.19,0.82,1007.45
3.814,0.38,-0.39,0.67,0.92,1.36,1.34,1007.45
3.932,0.26,-0.53,0.60,-0.86,-0.80,1.78,1007.46
