time,x,y,z,gx,gy,gz,barometer
0.324,0.24,-0.42,0.85,0.00,-0.03,-0.01,1007.53
0.669,0.23,-0.41,0.84,-0.02,-0.01,-0.01,1007.25
1.019,0.17,-0.43,0.88,0.02,0.16,0.06,1007.33
1.318,0.20,-0.50,0.85,-0.02,0.15,0.23,1007.43
1.622,0.08,-0.46,0.80,0.16,0.00,0.08,1007.43
1.999,0.14,-0.47,0.89,0.01,-0.06,-0.14,1007.40
2.315,0.09,-0.57,0.78,0.10,-0.09,-0.04,1007.36
2.666,0.13,-0.43,0.96,-0.08,0.39,-0.29,1007.35
2.981,0.58,-0.57,0.67,-0.20,-3.74,0.71,1007.52
3.36,0.37,-0.63,0.73,-0.55,0.65,0.77,1007.37
3.634,0.04,-0.43,0.61,1.46,-0.98,-2.38,1007.37
3.89,0.32,-0.32,0.82,1.34,-1.21,-1.79,1007.45
4.321,0.68,-0.78,0.58,-0.92,1.90,2.80,1007.44
4.661,0.09,-0.62,0.69,0.52,0.42,-0.19,1007.43
4.965,0.33,-0.33,0.77,1.21,-1.75,-1.98,1007.46
5.344,0.80,-0.61,0.59,-1.39,-0.45,0.55,1007.45
5.667,0.19,-0.63,0.69,0.27,0.62,-0.11,1007.39
5.989,0.43,-0.48,0.70,1.36,-2.13,-0.77,1007.37
6.397,0.62,-0.58,0.57,-0.95,-1.23,0.75,1007.46
6.707,0.19,-0.67,0.59,1.23,0.74,0.18,1007.39
6.995,0.46,-0.50,0.66,1.71,-3.28,-0.44,1007.41
7.34,0.70,-0.68,0.55,-0.38,-0.71,1.90,1007.41
7.672,0.25,-0.63,0.67,0.20,0.19,-0.07,1007.34
7.99,0.40,-0.48,0.75,1.58,-1.40,-2.36,1007.34
8.302,0.77,-0.67,0.52,-0.71,-0.54,1.17,1007.36
8.666,0.26,-0.63,0.63,0.97,0.30,-0.02,1007.51
8.999,0.68,-0.71,0.47,0.28,-1.71,-0.68,1007.39
9.316,0.87,-0.85,0.59,-0.75,2.16,2.34,1007.34
9.658,0.09,-0.62,0.70,0.39,0.14,-0.53,1007.39
9.998,0.53,-0.56,0.70,0.73,-1.19,-1.83,1007.41
10.36,0.82,-0.91,0.57,-1.13,2.97,2.99,1007.35
10.684,0.26,-0.68,0.66,1.00,0.96,-0.59,1007.36
11.027,0.16,-0.59,0.74,1.00,0.96,-0.59,1007.50
11.329,0.67,-0.66,0.61,-1.06,2.20,3.27,1007.53
11.651,0.17,-0.60,0.64,0.88,0.30,-0.66,1007.45
12.009,0.56,-0.79,0.51,0.49,-1.04,-0.70,1007.40
12.316,0.51,-0.67,0.59,-0.21,1.24,0.41,1007.43
12.696,0.18,-0.73,0.68,1.31,0.19,-0.44,1007.39
12.926,0.45,-0.47,0.72,1.49,-1.86,-3.49,1007.45
13.339,0.59,-0.65,0.58,-0.78,2.14,2.68,1007.36
13.648,0.17,-0.58,0.71,1.12,0.55,-0.51,1007.39
13.999,0.48,-0.51,0.76,0.75,-1.72,0.33,1007.40
14.319,0.51,-0.62,0.67,-1.16,1.59,1.37,1007.38
14.697,0.05,-0.53,0.71,1.77,0.48,-0.50,1007.43
14.99,0.55,-0.54,0.58,-1.03,-3.53,1.04,1007.39
15.414,0.73,-0.66,0.50,-0.20,0.83,0.35,1007.45
15.7,0.19,-0.66,0.67,1.51,0.66,-0.77,1007.41
16.021,0.48,-0.57,0.55,0.02,-2.31,0.47,1007.41
16.318,0.57,-0.72,0.69,-0.61,2.50,2.98,1007.42
16.674,0.08,-0.57,0.65,1.18,0.52,-0.88,1007.39
17.025,0.44,-0.54,0.77,0.31,-1.44,0.23,1007.45
17.329,0.62,-0.80,0.59,-0.73,1.47,1.91,1007.40
17.714,0.27,-0.64,0.72,-0.05,2.48,1.11,1007.40
17.963,0.37,-0.51,0.69,-0.56,-2.96,1.11,1007.34
18.325,0.36,-0.42,0.84,0.09,0.15,0.65,1007.35
18.662,0.21,-0.49,0.83,-0.36,0.10,-0.33,1007.42
19.017,0.17,-0.60,0.78,-0.08,0.36,-0.32,1007.46
19.332,0.13,-0.47,0.83,-0.22,-0.15,-0.15,1007.37
19.685,0.16,-0.48,0.83,0.12,0.02,-0.04,1007.37
19.998,0.15,-0.51,0.84,0.05,-0.06,0.04,1007.42
