time,x,y,z,gx,gy,gz,barometer
0.303,0.34,-0.56,0.75,0.00,-0.07,0.00,1007.47
0.67,0.34,-0.56,0.75,-0.02,-0.02,-0.01,1007.33
1.003,0.35,-0.57,0.78,-0.09,-0.00,0.01,1007.42
1.357,0.36,-0.44,0.67,-0.61,-2.26,-0.98,1007.33
1.662,0.67,-0.60,0.47,-0.68,0.19,-0.37,1007.34
2.095,0.24,-0.53,0.74,-0.47,1.03,0.53,1007.35
2.303,0.49,-0.56,0.56,-1.41,-0.94,-1.19,1007.25
2.668,0.75,-0.53,0.48,-0.11,0.29,-0.33,1007.40
2.988,0.23,-0.62,0.69,-0.13,0.37,0.15,1007.51
3.322,0.50,-0.56,0.55,0.75,-0.75,-1.05,1007.49
3.675,0.99,-0.67,0.48,-0.17,0.02,0.02,1007.50
3.997,0.11,-0.55,0.72,0.08,0.82,0.36,1007.54
4.477,0.05,-0.45,0.69,0.08,-2.48,-1.96,1007.41
4.643,0.93,-0.65,0.55,0.20,0.89,0.35,1007.46
5.012,0.11,-0.56,0.72,0.04,0.30,0.12,1007.50
5.325,0.37,-0.52,0.64,1.33,-2.34,-2.42,1007.47
5.653,0.81,-0.59,0.51,0.16,0.04,-0.06,1007.36
6.001,0.29,-0.60,0.69,0.33,1.01,0.39,1007.44
6.323,0.21,-0.56,0.51,-0.01,-2.31,-0.47,1007.53
6.709,0.71,-0.62,0.48,-0.11,-2.29,-1.70,1007.46
7.024,0.33,-0.62,0.65,-1.35,0.77,0.64,1007.52
7.328,0.15,-0.73,0.75,-0.34,-0.84,0.07,1007.41
7.659,0.79,-0.58,0.51,-0.99,-0.76,0.19,1007.50
8.018,0.42,-0.61,0.59,1.90,3.31,1.47,1007.25
8.324,0.09,-0.62,0.60,0.04,-1.22,-0.91,1007.42
8.643,0.78,-0.68,0.48,-0.17,-1.30,-0.31,1007.51
9.031,0.78,-0.68,0.48,-0.95,-0.40,0.36,1007.42
9.333,0.20,-0.67,0.56,-0.50,-0.93,-0.23,1007.47
9.655,0.76,-0.60,0.45,-0.03,-0.15,-0.09,1007.50
9.983,0.46,-0.57,0.57,0.20,3.32,1.15,1007.49
10.339,-0.02,-0.49,0.56,0.03,-1.29,-1.17,1007.34
10.672,0.74,-0.60,0.43,-0.81,-1.54,-1.14,1007.40
10.962,1.01,-0.70,0.51,0.02,0.16,0.02,1007.47
11.321,0.13,-0.59,0.65,-0.07,0.29,-0.18,1007.48
11.649,0.66,-0.56,0.47,1.38,-1.63,-2.26,1007.41
12.02,1.05,-0.81,0.52,-0.10,1.05,0.80,1007.43
12.336,0.25,-0.66,0.61,-0.27,0.24,0.18,1007.34
12.656,0.73,-0.58,0.45,1.53,-1.25,-1.28,1007.39
12.984,0.87,-0.62,0.39,0.05,0.42,0.41,1007.49
13.475,0.42,-0.64,0.56,-0.35,0.77,0.60,1007.35
13.659,0.56,-0.80,0.46,0.74,-0.79,-0.06,1007.51
13.984,0.76,-0.57,0.41,0.23,0.00,-0.08,1007.40
14.354,0.47,-0.66,0.57,0.86,0.70,0.70,1007.66
14.666,0.50,-0.79,0.53,0.09,-2.27,-0.99,1007.51
14.986,0.81,-0.56,0.45,-0.31,-0.60,0.27,1007.45
15.329,0.34,-0.59,0.54,0.97,1.55,1.11,1007.60
15.74,0.30,-0.62,0.66,0.36,0.38,0.12,1007.47
15.988,0.76,-0.57,0.43,0.25,0.14,-0.23,1007.50
16.347,0.46,-0.54,0.60,-0.13,3.31,1.86,1007.57
16.664,0.30,-0.64,0.59,-0.11,-2.22,-0.85,1007.47
16.989,0.76,-0.56,0.44,0.19,0.11,-0.07,1007.42
17.349,0.54,-0.57,0.48,2.50,2.31,1.16,1007.51
17.663,0.22,-0.70,0.68,-0.36,-2.30,0.60,1007.42
18.01,0.31,-0.73,0.62,-1.45,-1.44,-0.21,1007.55
18.341,0.65,-0.58,0.43,0.15,3.13,1.40,1007.40
18.669,0.22,-0.60,0.68,0.27,0.19,0.14,1007.53
19.005,0.55,-0.58,0.49,0.69,-1.45,-2.04,1007.59
19.326,0.96,-0.66,0.49,-0.24,-0.14,0.01,1007.55
19.659,0.48,-0.65,0.57,-0.20,0.10,0.76,1007.48
19.982,0.39,-0.69,0.61,0.46,0.13,0.18,1007.55
20.346,0.38,-0.67,0.62,-0.06,0.09,0.05,1007.56
20.674,0.40,-0.67,0.65,-0.23,-0.26,-0.04,1007.40
