time,x,y,z,gx,gy,gz,barometer
0.157,0.23,-0.43,0.84,0.11,-0.00,0.00,1007.41
0.299,0.24,-0.42,0.85,0.01,-0.01,-0.02,1007.40
0.429,0.23,-0.42,0.84,0.01,0.01,-0.00,1007.53
0.57,0.24,-0.41,0.83,0.03,-0.01,-0.02,1007.44
0.748,0.24,-0.42,0.84,-0.02,-0.01,-0.01,1007.25
0.858,0.23,-0.42,0.84,0.01,0.01,0.00,1007.44
1.019,0.17,-0.43,0.88,0.02,0.16,0.06,1007.33
1.134,0.17,-0.48,0.91,-0.09,0.24,0.16,1007.46
1.312,0.20,-0.50,0.85,-0.01,0.33,0.33,1007.58
1.435,0.19,-0.45,0.87,-0.10,0.16,0.06,1007.46
1.563,0.10,-0.38,0.81,0.16,0.00,0.08,1007.40
1.759,0.08,-0.46,0.80,0.07,-0.12,0.32,1007.43
1.859,0.10,-0.45,0.86,-0.21,-0.03,0.20,1007.31
1.999,0.14,-0.47,0.89,0.01,-0.06,-0.14,1007.40
2.139,0.05,-0.40,0.83,-0.14,0.08,-0.23,1007.42
2.286,0.08,-0.46,0.82,0.21,0.09,-0.25,1007.36
2.419,0.09,-0.56,0.79,-0.28,-0.43,0.15,1007.39
2.563,0.10,-0.49,0.92,-0.01,0.25,0.35,1007.37
2.741,0.06,-0.38,0.89,-0.08,0.39,-0.29,1007.35
2.844,-0.03,-0.38,0.62,0.84,-1.80,-1.58,1007.50
2.981,0.58,-0.57,0.67,-0.20,-3.74,0.71,1007.52
3.12,0.81,-0.72,0.69,-1.21,-0.28,1.39,1007.36
3.291,0.37,-0.63,0.73,-0.16,2.32,1.40,1007.39
3.399,0.28,-0.65,0.77,0.72,1.05,0.04,1007.48
3.582,0.12,-0.54,0.64,1.40,0.80,-0.39,1007.49
3.71,0.33,-0.42,0.95,2.35,-0.31,0.65,1007.45
3.856,0.24,-0.65,0.70,-0.90,-1.21,-0.17,1007.47
3.89,0.32,-0.32,0.82,1.34,-1.21,-1.79,1007.45
4.206,0.40,-0.39,0.77,1.34,-1.21,-1.79,1007.45
4.299,0.68,-0.78,0.58,-0.58,-0.69,1.16,1007.43
4.441,0.32,-0.71,0.66,1.12,2.17,1.21,1007.37
4.57,0.17,-0.65,0.69,-0.22,1.34,0.02,1007.50
4.697,0.16,-0.58,0.74,1.02,0.37,-0.72,1007.43
4.856,0.02,-0.46,0.70,1.19,0.21,-0.94,1007.57
4.965,0.33,-0.33,0.77,1.21,-1.75,-1.98,1007.46
5.147,0.39,-0.41,0.72,-1.20,-3.10,0.94,1007.57
5.249,0.80,-0.61,0.59,-1.39,-0.45,0.55,1007.45
5.445,0.73,-0.76,0.70,-0.79,2.44,2.84,1007.45
5.569,0.22,-0.58,0.71,1.33,1.92,0.27,1007.38
