time,x,y,z,gx,gy,gz,barometer
12.846,0.73,-0.54,0.35,-0.51,-0.01,-1.16,1007.44
13.001,0.94,-0.42,0.46,1.28,4.71,-0.59,1007.45
13.137,0.60,-0.26,0.53,-0.39,1.65,1.10,1007.34
13.137,0.60,-0.26,0.53,-0.39,1.65,1.10,1007.34
13.441,0.36,-0.23,0.67,-0.39,1.65,1.10,1007.34
13.577,0.34,-0.51,0.55,0.36,-3.65,-1.46,1007.39
13.722,0.95,-0.72,0.36,-1.52,0.90,-1.10,1007.37
13.844,0.83,-0.58,0.36,0.45,0.46,-1.48,1007.32
14.016,0.98,-0.48,0.39,0.90,2.62,-1.05,1007.41
14.117,0.55,-0.32,0.53,-0.41,1.91,1.75,1007.30
14.263,0.42,-0.43,0.67,-0.34,-0.20,1.65,1007.40
14.429,0.34,-0.42,0.73,-0.14,-0.27,0.78,1007.34
14.536,0.32,-0.47,0.77,-0.11,-0.10,-0.19,1007.43
14.716,0.37,-0.50,0.83,0.21,-0.04,0.07,1007.43
14.844,0.32,-0.45,0.77,-0.07,0.04,0.16,1007.35
14.977,0.31,-0.49,0.78,0.16,0.03,-0.19,1007.53
15.132,0.26,-0.47,0.82,0.02,-0.02,-0.16,1007.46
15.265,0.28,-0.45,0.82,0.05,0.10,-0.01,1007.33
15.401,0.25,-0.43,0.80,0.14,0.10,-0.01,1007.45
15.642,0.27,-0.46,0.81,0.14,0.10,-0.01,1007.45
15.718,0.27,-0.42,0.82,0.05,-0.08,-0.16,1007.44
15.846,0.26,-0.43,0.83,-0.00,0.07,-0.01,1007.44
15.998,0.26,-0.41,0.84,0.14,0.10,0.08,1007.35
