time,x,y,z,gx,gy,gz,barometer
9.983,0.46,-0.57,0.57,0.20,3.32,1.15,1007.49
10.083,0.41,-0.62,0.67,0.49,0.92,0.54,1007.44
10.235,0.26,-0.61,0.72,0.04,0.20,0.04,1007.37
10.339,-0.02,-0.49,0.56,0.03,-1.29,-1.17,1007.34
10.463,0.57,-0.58,0.73,-0.41,-0.75,1.83,1007.44
10.561,0.55,-0.63,0.52,-1.50,-1.66,-0.54,1007.32
10.672,0.74,-0.60,0.43,-0.81,-1.54,-1.14,1007.40
10.78,0.77,-0.57,0.44,-0.18,-0.34,0.07,1007.46
10.878,0.75,-0.58,0.44,0.55,-0.05,-0.02,1007.31
10.962,1.01,-0.70,0.51,0.02,0.16,0.02,1007.47
11.22,1.01,-0.70,0.51,0.20,3.46,2.80,1007.47
11.221,0.80,-0.74,0.50,0.20,3.46,2.80,1007.47
11.321,0.13,-0.59,0.65,-0.07,0.29,-0.18,1007.48
11.438,0.09,-0.56,0.53,-0.29,-3.28,-1.59,1007.35
11.564,0.34,-0.81,0.65,-0.88,0.70,2.27,1007.40
11.649,0.66,-0.56,0.47,1.38,-1.63,-2.26,1007.41
11.775,0.83,-0.64,0.44,-0.08,-0.12,0.15,1007.47
11.883,0.76,-0.57,0.43,-0.02,0.04,-0.10,1007.47
12.02,1.05,-0.81,0.52,-0.10,1.05,0.80,1007.43
12.098,0.52,-0.46,0.45,1.88,3.38,1.84,1007.46
12.219,0.40,-0.58,0.61,1.24,1.13,0.58,1007.44
12.336,0.25,-0.66,0.61,-0.27,0.24,0.18,1007.34
12.449,0.30,-0.55,0.59,-0.18,-1.84,-0.93,1007.40
12.568,0.62,-0.81,0.51,-0.22,-2.87,-1.64,1007.36
12.656,0.73,-0.58,0.45,1.53,-1.25,-1.28,1007.39
12.771,0.78,-0.64,0.43,-0.44,-0.34,0.08,1007.38
12.884,0.77,-0.57,0.43,0.08,0.21,-0.00,1007.38
12.984,0.87,-0.62,0.39,0.05,0.42,0.41,1007.49
13.084,0.71,-0.58,0.43,0.17,2.12,0.71,1007.44
13.188,0.42,-0.64,0.56,0.86,1.66,1.20,1007.35
13.475,0.42,-0.64,0.56,-0.35,0.77,0.60,1007.35
13.475,0.42,-0.64,0.56,-0.35,0.77,0.60,1007.35
13.538,0.35,-0.79,0.60,-0.35,-2.35,-0.35,1007.45
13.659,0.56,-0.80,0.46,0.74,-0.79,-0.06,1007.51
13.784,0.74,-0.60,0.42,1.62,-1.67,-2.05,1007.45
13.915,0.85,-0.67,0.39,-0.51,-0.16,0.11,1007.51
13.984,0.76,-0.57,0.41,0.23,0.00,-0.08,1007.40
14.125,0.95,-0.68,0.49,-0.18,3.66,1.90,1007.44
14.218,0.38,-0.59,0.47,-1.62,-0.25,0.64,1007.52
14.354,0.47,-0.66,0.57,0.86,0.70,0.70,1007.66
14.448,0.39,-0.67,0.62,-0.04,0.34,0.14,1007.45
14.56,0.26,-0.65,0.67,0.10,0.11,0.19,1007.48
14.666,0.50,-0.79,0.53,0.09,-2.27,-0.99,1007.51
14.785,0.63,-0.51,0.54,1.21,-1.10,-2.28,1007.51
14.884,0.73,-0.59,0.46,-0.48,-1.23,0.09,1007.41
14.986,0.81,-0.56,0.45,-0.31,-0.60,0.27,1007.45
15.09,0.77,-0.57,0.46,0.02,0.15,0.08,1007.44
15.249,0.76,-0.68,0.54,0.10,2.17,0.45,1007.54
15.329,0.34,-0.59,0.54,0.97,1.55,1.11,1007.60
15.471,0.36,-0.62,0.59,0.25,0.66,0.28,1007.54
15.477,0.30,-0.62,0.66,0.25,0.66,0.28,1007.47
15.74,0.30,-0.62,0.66,0.36,0.38,0.12,1007.47
15.778,0.65,-0.59,0.52,-0.75,-2.56,-1.14,1007.47
15.903,0.85,-0.60,0.47,-0.43,-0.10,-0.03,1007.47
15.988,0.76,-0.57,0.43,0.25,0.14,-0.23,1007.50
16.084,0.77,-0.57,0.42,0.11,0.12,0.04,1007.50
16.219,0.99,-0.64,0.57,0.13,3.42,2.29,1007.52
16.347,0.46,-0.54,0.60,-0.13,3.31,1.86,1007.57
16.455,0.38,-0.66,0.64,0.15,1.63,0.54,1007.48
16.55,0.19,-0.57,0.65,-0.24,-0.12,0.03,1007.50
16.664,0.30,-0.64,0.59,-0.11,-2.22,-0.85,1007.47
16.771,0.32,-0.65,0.55,-1.77,-2.89,-2.62,1007.53
16.884,0.89,-0.67,0.47,-0.73,-0.37,0.19,1007.48
16.989,0.76,-0.56,0.44,0.19,0.11,-0.07,1007.42
17.084,0.74,-0.58,0.43,0.02,0.10,0.04,1007.50
17.228,0.90,-0.79,0.57,0.10,1.94,0.30,1007.53
17.349,0.54,-0.57,0.48,2.50,2.31,1.16,1007.51
17.449,0.33,-0.50,0.60,0.19,1.26,0.52,1007.52
17.554,0.11,-0.57,0.69,0.09,-0.58,0.19,1007.49
17.663,0.22,-0.70,0.68,-0.36,-2.30,0.60,1007.42
17.74,0.31,-0.73,0.62,-1.45,-1.44,-0.21,1007.52
18.01,0.31,-0.73,0.62,-1.45,-1.44,-0.21,1007.55
18.01,0.31,-0.73,0.62,-1.45,-1.44,-0.21,1007.55
18.124,0.74,-0.60,0.44,-0.14,0.02,-0.23,1007.50
18.22,0.80,-0.56,0.41,0.11,0.23,0.16,1007.52
18.341,0.65,-0.58,0.43,0.15,3.13,1.40,1007.40
18.455,0.47,-0.64,0.53,-0.69,1.42,0.83,1007.49
18.567,0.41,-0.56,0.54,1.20,1.44,0.54,1007.54
18.669,0.22,-0.60,0.68,0.27,0.19,0.14,1007.53
18.788,0.14,-0.61,0.62,-0.16,-2.08,0.52,1007.47
18.884,0.60,-0.81,0.64,-0.14,-1.00,-0.50,1007.46
19.005,0.55,-0.58,0.49,0.69,-1.45,-2.04,1007.59
19.125,0.89,-0.69,0.43,0.24,-1.35,-0.63,1007.48
