time,x,y,z,gx,gy,gz,barometer
0.111,0.23,-0.43,0.84,0.27,-0.04,-0.03,1007.40
0.239,0.24,-0.42,0.84,0.02,-0.01,0.00,1007.40
0.324,0.24,-0.42,0.85,0.00,-0.03,-0.01,1007.53
0.431,0.23,-0.42,0.84,-0.00,-0.02,-0.01,1007.53
0.566,0.24,-0.41,0.83,0.02,-0.03,0.00,1007.44
0.669,0.23,-0.41,0.84,-0.02,-0.01,-0.01,1007.25
0.775,0.23,-0.42,0.84,0.01,0.01,0.00,1007.37
0.89,0.23,-0.42,0.84,0.01,0.00,-0.01,1007.46
1.019,0.17,-0.43,0.88,0.02,0.16,0.06,1007.33
1.128,0.17,-0.48,0.91,-0.02,0.20,0.13,1007.33
1.234,0.16,-0.48,0.84,-0.02,0.34,0.21,1007.33
1.318,0.20,-0.50,0.85,-0.02,0.15,0.23,1007.43
1.44,0.14,-0.40,0.84,-0.18,0.02,0.08,1007.37
1.555,0.10,-0.38,0.81,0.05,0.04,0.04,1007.40
1.622,0.08,-0.46,0.80,0.16,0.00,0.08,1007.43
1.765,0.08,-0.50,0.84,-0.14,-0.03,0.28,1007.45
1.859,0.10,-0.45,0.86,-0.21,-0.03,0.20,1007.31
1.999,0.14,-0.47,0.89,0.01,-0.06,-0.14,1007.40
2.114,0.05,-0.40,0.83,-0.05,0.03,-0.19,1007.31
2.251,0.06,-0.40,0.84,0.07,0.20,-0.27,1007.39
2.315,0.09,-0.57,0.78,0.10,-0.09,-0.04,1007.36
2.467,0.13,-0.56,0.83,-0.28,-0.43,0.15,1007.39
2.557,0.10,-0.49,0.92,-0.18,-0.05,0.08,1007.36
2.666,0.13,-0.43,0.96,-0.08,0.39,-0.29,1007.35
2.769,-0.01,-0.37,0.71,0.81,0.03,-1.19,1007.41
2.844,-0.03,-0.38,0.62,0.84,-1.80,-1.58,1007.50
2.981,0.58,-0.57,0.67,-0.20,-3.74,0.71,1007.52
3.116,0.81,-0.72,0.69,-1.21,-0.28,1.39,1007.45
3.19,0.63,-0.80,0.82,-1.15,1.38,1.96,1007.50
3.36,0.37,-0.63,0.73,-0.55,0.65,0.77,1007.37
3.476,0.15,-0.57,0.70,0.72,1.05,0.04,1007.48
3.582,0.12,-0.54,0.64,1.40,0.80,-0.39,1007.49
3.634,0.04,-0.43,0.61,1.46,-0.98,-2.38,1007.37
3.77,0.24,-0.65,0.70,-0.90,-1.21,-0.17,1007.46
3.89,0.32,-0.32,0.82,1.34,-1.21,-1.79,1007.45
3.89,0.32,-0.32,0.82,1.34,-1.21,-1.79,1007.45
4.206,0.40,-0.39,0.77,1.34,-1.21,-1.79,1007.45
4.22,0.65,-0.65,0.56,-0.89,-2.00,1.83,1007.54
4.321,0.68,-0.78,0.58,-0.92,1.90,2.80,1007.44
4.444,0.32,-0.71,0.66,0.61,1.03,1.04,1007.37
4.544,0.25,-0.65,0.70,-0.22,1.34,0.02,1007.50
4.661,0.09,-0.62,0.69,0.52,0.42,-0.19,1007.43
4.766,0.03,-0.52,0.66,1.19,0.21,-0.94,1007.45
4.897,0.02,-0.46,0.70,1.87,-0.31,-2.06,1007.48
4.965,0.33,-0.33,0.77,1.21,-1.75,-1.98,1007.46
5.079,0.39,-0.41,0.72,1.35,-2.19,0.69,1007.57
5.245,0.74,-0.58,0.59,-0.88,-2.17,0.84,1007.45
5.344,0.80,-0.61,0.59,-1.39,-0.45,0.55,1007.45
5.445,0.73,-0.76,0.70,-0.79,2.44,2.84,1007.45
5.563,0.30,-0.66,0.66,1.33,1.92,0.27,1007.47
5.667,0.19,-0.63,0.69,0.27,0.62,-0.11,1007.39
5.771,0.10,-0.60,0.72,1.30,0.65,-1.07,1007.44
5.915,0.01,-0.49,0.69,1.37,-2.07,-2.99,1007.39
5.989,0.43,-0.48,0.70,1.36,-2.13,-0.77,1007.37
6.112,0.62,-0.58,0.57,-0.63,-1.73,0.43,1007.31
6.133,0.62,-0.58,0.57,-0.63,-1.73,0.43,1007.46
6.397,0.62,-0.58,0.57,-0.95,-1.23,0.75,1007.46
6.442,0.47,-0.73,0.50,1.18,1.61,1.53,1007.48
6.549,0.38,-0.70,0.57,-0.63,2.19,-0.12,1007.37
6.707,0.19,-0.67,0.59,1.23,0.74,0.18,1007.39
6.774,0.09,-0.54,0.75,1.34,0.44,-1.40,1007.46
6.876,0.02,-0.49,0.66,1.50,-0.10,-1.51,1007.30
6.995,0.46,-0.50,0.66,1.71,-3.28,-0.44,1007.41
7.116,0.73,-0.57,0.63,-0.82,-1.34,0.62,1007.38
7.238,0.71,-0.63,0.58,-0.56,0.11,0.10,1007.43
7.34,0.70,-0.68,0.55,-0.38,-0.71,1.90,1007.41
7.462,0.80,-0.85,0.73,-0.68,2.19,1.40,1007.44
7.547,0.23,-0.62,0.60,1.21,0.64,1.15,1007.44
7.672,0.25,-0.63,0.67,0.20,0.19,-0.07,1007.34
7.767,0.17,-0.65,0.69,0.58,0.33,-0.79,1007.45
7.896,0.12,-0.56,0.65,1.11,0.21,-2.03,1007.36
7.99,0.40,-0.48,0.75,1.58,-1.40,-2.36,1007.34
8.101,0.56,-0.65,0.53,-1.00,-1.97,0.49,1007.47
8.262,0.67,-0.64,0.50,-0.70,-1.94,1.34,1007.39
8.302,0.77,-0.67,0.52,-0.71,-0.54,1.17,1007.36
8.374,0.83,-0.90,0.67,-0.74,2.15,3.51,1007.44
8.656,0.83,-0.90,0.67,0.23,2.35,0.99,1007.44
8.666,0.26,-0.63,0.63,0.97,0.30,-0.02,1007.51
8.795,0.23,-0.59,0.62,0.88,-0.63,-1.62,1007.36
8.896,0.24,-0.62,0.49,0.40,-2.43,-2.64,1007.32
8.999,0.68,-0.71,0.47,0.28,-1.71,-0.68,1007.39
9.096,0.73,-0.75,0.50,-0.07,-0.22,0.55,1007.45
9.21,0.64,-0.73,0.40,-0.45,-1.72,2.39,1007.39
9.316,0.87,-0.85,0.59,-0.75,2.16,2.34,1007.34
9.441,0.22,-0.73,0.56,1.95,0.67,1.90,1007.39
9.614,0.22,-0.73,0.56,1.95,0.67,1.90,1007.46
9.658,0.09,-0.62,0.70,0.39,0.14,-0.53,1007.39
9.775,0.12,-0.67,0.59,0.93,-0.11,-0.64,1007.41
9.886,0.13,-0.52,0.55,0.72,-0.62,-1.66,1007.47
9.998,0.53,-0.56,0.70,0.73,-1.19,-1.83,1007.41
10.096,0.51,-0.65,0.58,-1.04,-2.24,0.77,1007.31
10.193,0.71,-0.61,0.57,-0.87,-2.08,1.31,1007.38
10.36,0.82,-0.91,0.57,-1.13,2.97,2.99,1007.35
10.452,0.45,-0.71,0.45,-0.71,-0.15,1.42,1007.36
10.563,0.36,-0.68,0.60,0.37,0.75,0.03,1007.41
10.684,0.26,-0.68,0.66,1.00,0.96,-0.59,1007.36
10.688,0.16,-0.59,0.74,1.00,0.96,-0.59,1007.36
11.027,0.16,-0.59,0.74,1.00,0.96,-0.59,1007.50
11.027,0.16,-0.59,0.74,1.00,0.96,-0.59,1007.50
11.155,0.68,-0.73,0.50,-1.63,-1.20,0.87,1007.26
11.193,0.76,-0.72,0.51,-0.15,-0.02,0.79,1007.33
11.329,0.67,-0.66,0.61,-1.06,2.20,3.27,1007.53
11.43,0.43,-0.72,0.67,-0.84,0.64,0.73,1007.45
11.529,0.28,-0.72,0.65,1.69,0.90,0.58,1007.44
11.651,0.17,-0.60,0.64,0.88,0.30,-0.66,1007.45
11.782,0.09,-0.52,0.45,1.05,-2.50,-3.32,1007.20
11.887,0.38,-0.75,0.57,0.01,-0.82,-1.67,1007.38
12.009,0.56,-0.79,0.51,0.49,-1.04,-0.70,1007.40
12.109,0.67,-0.75,0.50,-0.69,-1.39,0.73,1007.30
12.219,0.86,-0.76,0.62,-0.75,-0.68,0.89,1007.47
12.316,0.51,-0.67,0.59,-0.21,1.24,0.41,1007.43
12.443,0.24,-0.81,0.55,-1.31,0.78,0.99,1007.42
12.528,0.35,-0.75,0.62,0.54,0.97,0.31,1007.34
12.696,0.18,-0.73,0.68,1.31,0.19,-0.44,1007.39
12.802,0.09,-0.61,0.64,1.17,-0.62,-1.21,1007.40
12.901,0.19,-0.52,0.60,0.99,-1.11,-2.09,1007.35
