time,x,y,z,gx,gy,gz,barometer
17.817,0.36,-0.49,0.79,0.01,-0.24,-0.24,1007.44
17.98,0.46,-0.47,0.69,-0.17,-1.85,-0.98,1007.47
18.2,0.31,-1.35,1.00,-4.70,1.87,-2.14,1007.41
18.435,0.30,-0.66,0.62,-1.16,2.31,3.12,1007.46
18.571,1.19,-0.08,0.86,-0.04,1.65,-1.27,1007.36
18.827,0.35,-0.21,0.90,3.54,0.12,-0.23,1007.41
18.953,0.37,-0.47,0.78,0.15,0.07,-0.01,1007.48
19.204,0.35,-0.48,0.78,-0.00,0.09,-0.12,1007.33
19.434,0.35,-0.57,0.79,-0.04,-0.85,-0.97,1007.28
19.568,0.42,-0.72,0.48,-2.17,3.37,-3.31,1007.38
19.986,0.42,-0.72,0.48,-4.70,3.65,-3.83,1007.38
20.0,0.33,-0.53,0.74,-1.43,2.20,-2.30,1007.26
20.21,0.40,-0.59,0.70,0.19,0.09,-0.03,1007.23
20.43,0.36,-0.51,0.67,-0.00,-0.05,-0.17,1007.34
20.568,0.39,-0.49,0.73,0.15,-0.15,-0.09,1007.38
20.778,0.42,-0.52,0.87,-0.60,-3.49,-1.65,1007.39
21.03,-0.10,-0.81,0.60,-0.21,0.38,2.78,1007.38
21.19,0.83,-0.83,0.74,-0.27,0.66,1.07,1007.40
21.409,0.52,-0.44,0.84,-1.44,-0.14,-0.41,1007.42
21.573,0.29,-0.51,0.60,0.03,-0.06,0.23,1007.39
21.778,0.36,-0.54,0.77,0.10,-0.12,-0.14,1007.41
21.853,0.36,-0.54,0.77,0.10,-0.12,-0.14,1007.33
22.175,0.47,-0.73,0.81,-2.04,0.01,-1.91,1007.42
22.427,-0.09,-0.58,0.39,0.53,0.24,2.30,1007.39
22.59,0.58,-1.02,0.60,0.24,0.68,2.48,1007.54
22.806,0.87,-0.33,0.76,-0.44,-0.90,0.14,1007.45
22.975,0.13,-0.61,0.49,1.21,-0.35,-0.25,1007.36
23.18,0.36,-0.53,0.76,-0.00,0.00,-0.02,1007.47
23.372,0.36,-0.51,0.77,0.03,0.01,0.06,1007.36
23.586,0.40,-0.79,0.82,0.28,-0.70,-2.32,1007.48
23.787,-0.27,-0.80,0.63,2.13,0.40,1.53,1007.40
24.002,0.72,-0.85,0.68,-0.22,1.42,2.52,1007.40
24.06,0.75,-0.47,0.82,-0.32,1.50,1.71,1007.18
24.41,0.95,-0.46,0.80,-0.32,1.50,1.71,1007.18
24.57,0.36,-0.53,0.75,0.31,0.04,-0.42,1007.45
24.765,0.36,-0.54,0.72,-0.04,0.20,0.02,1007.40
24.988,-0.76,-1.45,1.00,-8.12,-1.31,-0.85,1007.41
25.194,0.53,-1.00,0.66,-0.07,1.20,2.27,1007.41
