time,x,y,z,gx,gy,gz,barometer
0.173,0.34,-0.52,0.76,-0.03,-0.00,-0.00,1007.36
0.334,0.34,-0.53,0.76,-0.01,-0.01,-0.01,1007.44
0.501,0.34,-0.52,0.76,0.02,0.00,-0.01,1007.38
0.653,0.33,-0.57,0.75,-0.14,-0.07,0.16,1007.33
0.82,0.32,-0.60,0.82,0.02,-0.28,-1.17,1007.39
1.036,-0.23,-0.68,0.91,-1.56,0.81,-1.02,1007.37
1.125,0.59,-0.31,0.65,0.78,1.18,0.80,1007.50
1.332,0.69,-0.37,0.55,-0.60,-3.35,-0.68,1007.37
1.454,0.36,-0.44,0.80,-0.74,0.55,-0.07,1007.45
1.69,0.32,-0.49,0.78,0.08,-0.05,-0.11,1007.47
1.832,0.32,-0.50,0.81,-0.09,-0.53,-0.50,1007.39
1.991,0.45,-0.75,0.86,-0.31,-4.07,-1.56,1007.39
2.15,0.16,-1.28,0.89,-2.18,-0.20,-2.88,1007.42
2.32,0.32,-0.76,0.66,0.13,2.30,4.32,1007.55
2.536,1.51,-0.43,0.82,0.35,0.32,0.13,1007.39
2.683,1.19,-0.67,0.87,-0.33,3.19,1.55,1007.38
2.832,0.41,-0.56,0.78,-0.20,0.04,-0.14,1007.47
3.012,0.30,-0.49,0.80,0.06,-0.20,-0.35,1007.47
3.19,0.35,-0.56,0.86,-0.74,-4.27,-1.92,1007.40
3.325,0.08,-1.17,0.74,-2.26,2.30,-1.54,1007.34
3.505,0.26,-0.82,0.52,-0.37,1.75,4.86,1007.39
3.655,1.36,-0.72,0.72,0.86,2.00,3.21,1007.48
3.722,1.53,-0.13,0.34,-0.99,-0.07,-0.13,1007.41
4.07,1.53,-0.13,0.34,-0.99,-0.07,-0.13,1007.27
4.169,0.29,-0.55,0.79,-0.00,-0.15,-0.39,1007.40
4.323,0.34,-0.56,0.91,-0.28,-1.54,-0.76,1007.31
4.509,1.20,-1.13,1.22,-1.50,0.28,-5.41,1007.36
4.661,0.09,-0.62,0.72,1.47,2.52,2.31,1007.32
4.832,0.78,-0.63,1.10,-1.50,2.80,2.15,1007.35
4.95,1.76,0.11,0.59,-0.06,0.80,1.14,1007.36
5.125,0.21,-0.61,0.40,4.21,0.96,0.18,1007.52
5.348,0.29,-0.55,0.77,0.09,0.10,-0.23,1007.38
5.515,0.29,-0.53,0.82,-0.06,-1.17,-0.69,1007.43
5.671,0.75,-0.74,0.68,-0.10,-5.08,-3.14,1007.44
5.832,-0.11,-1.09,0.48,3.07,3.09,2.79,1007.51
6.001,1.26,-0.52,1.01,-1.83,2.59,3.70,1007.32
6.001,1.26,-0.52,1.01,-1.83,2.59,3.70,1007.32
6.358,1.26,-0.52,1.01,-1.83,2.59,3.70,1007.41
6.49,0.33,-0.53,0.74,-0.17,-0.02,0.02,1007.38
