time,x,y,z,gx,gy,gz,barometer
0.491,-0.84,-0.38,0.35,-0.06,-0.01,0.03,1007.25
0.983,-1.00,-0.45,0.15,0.36,1.17,0.18,1007.49
1.491,-0.68,-0.29,0.30,0.26,-1.00,0.28,1007.22
1.973,-0.95,-0.47,0.16,-0.08,0.90,-0.03,1007.27
2.5,-0.99,-0.30,0.30,0.58,-0.61,-0.61,1007.43
3.007,-1.05,-0.32,0.10,-0.20,0.68,0.26,1007.42
3.506,-0.76,-0.18,0.31,0.37,-1.24,0.02,1007.30
3.99,-1.00,-0.31,0.21,-0.42,0.99,0.13,1007.36
4.493,-0.75,-0.19,0.37,0.48,-1.36,-0.11,1007.29
4.992,-0.91,-0.25,0.26,-0.57,1.37,0.98,1007.33
5.497,-0.90,-0.23,0.36,1.01,-1.31,-0.75,1007.28
5.964,-0.65,-0.19,0.30,-0.30,1.75,1.70,1007.35
6.498,-1.17,-0.13,0.28,0.39,-1.42,-1.06,1007.25
7.0,-0.61,-0.15,0.40,-0.02,0.18,1.68,1007.39
7.487,-1.17,-0.17,0.27,0.79,0.05,-1.59,1007.34
7.977,-0.63,-0.11,0.38,0.13,0.08,1.55,1007.25
8.5,-1.12,-0.12,0.34,0.54,0.71,-1.36,1007.26
8.975,-0.60,-0.18,0.57,0.54,-1.37,1.01,1007.25
9.498,-0.40,-0.07,0.83,-0.06,-0.02,0.02,1007.36
10.007,-0.43,-0.04,0.85,0.03,0.03,-0.07,1007.32
10.498,-0.43,-0.12,0.84,-0.38,-0.11,-0.04,1007.32
