time,x,y,z,gx,gy,gz,barometer
0.503,0.35,-0.56,0.74,0.03,-0.00,-0.04,1007.38
1.003,0.35,-0.57,0.78,-0.09,-0.00,0.01,1007.42
1.504,0.71,-0.60,0.55,-0.13,0.59,-0.41,1007.49
2.095,0.24,-0.53,0.74,-0.47,1.03,0.53,1007.35
2.501,0.78,-0.55,0.50,-0.24,-0.31,0.22,1007.28
2.988,0.23,-0.62,0.69,-0.13,0.37,0.15,1007.51
3.501,0.78,-0.60,0.48,0.05,-0.78,0.26,1007.53
3.997,0.11,-0.55,0.72,0.08,0.82,0.36,1007.54
4.492,0.67,-0.53,0.54,-0.65,-0.78,-0.03,1007.37
5.012,0.11,-0.56,0.72,0.04,0.30,0.12,1007.50
5.504,0.81,-0.56,0.53,-0.69,-0.68,0.24,1007.50
6.001,0.29,-0.60,0.69,0.33,1.01,0.39,1007.44
6.429,0.42,-0.53,0.52,-0.11,-2.29,-1.70,1007.46
7.024,0.33,-0.62,0.65,-1.35,0.77,0.64,1007.52
7.504,0.39,-0.65,0.58,-0.43,-2.37,-1.47,1007.48
8.018,0.42,-0.61,0.59,1.90,3.31,1.47,1007.25
8.521,0.57,-0.85,0.42,-0.52,-0.62,-1.29,1007.48
9.031,0.78,-0.68,0.48,-0.95,-0.40,0.36,1007.42
9.525,0.60,-0.63,0.48,-0.40,-1.38,-0.45,1007.43
9.983,0.46,-0.57,0.57,0.20,3.32,1.15,1007.49
10.492,0.52,-0.72,0.51,-1.50,-1.66,-0.54,1007.37
10.962,1.01,-0.70,0.51,0.02,0.16,0.02,1007.47
11.508,0.27,-0.62,0.62,-0.88,0.70,2.27,1007.40
12.02,1.05,-0.81,0.52,-0.10,1.05,0.80,1007.43
12.488,0.30,-0.55,0.59,-0.22,-2.87,-1.64,1007.36
12.984,0.87,-0.62,0.39,0.05,0.42,0.41,1007.49
13.49,0.13,-0.57,0.58,-0.35,-2.35,-0.35,1007.57
13.984,0.76,-0.57,0.41,0.23,0.00,-0.08,1007.40
14.484,0.26,-0.65,0.67,0.10,0.11,0.19,1007.45
14.986,0.81,-0.56,0.45,-0.31,-0.60,0.27,1007.45
15.477,0.30,-0.62,0.66,0.25,0.66,0.28,1007.47
15.988,0.76,-0.57,0.43,0.25,0.14,-0.23,1007.50
16.498,0.29,-0.59,0.65,0.41,0.81,0.36,1007.56
16.989,0.76,-0.56,0.44,0.19,0.11,-0.07,1007.42
17.485,0.29,-0.61,0.68,-0.10,0.45,0.07,1007.43
18.01,0.31,-0.73,0.62,-1.45,-1.44,-0.21,1007.55
18.484,0.41,-0.56,0.54,1.20,1.44,0.54,1007.47
19.005,0.55,-0.58,0.49,0.69,-1.45,-2.04,1007.59
19.497,0.63,-0.67,0.54,0.04,0.92,0.92,1007.48
19.982,0.39,-0.69,0.61,0.46,0.13,0.18,1007.55
20.498,0.39,-0.67,0.64,0.04,-0.12,-0.05,1007.61
